Company Name (in alphabetical order),Market Cap ($ Millions),Most Recent Quarter Data,Price From,Ticker
Altria Group Inc,"105,701.80",09/30,01/28,MO
AMC Networks Inc,335.47,09/30,01/28,AMCX
biote Corp,63.51,09/30,01/28,BTMD
Bitcoin Depot Inc,75.38,09/30,01/28,BTM
Brookfield Business Corp,"2,432.40",09/30,01/28,BBUC
Bumble Inc,409.08,09/30,01/28,BMBL
Catalyst Pharmaceutical Inc,"2,983.01",09/30,01/28,CPRX
CGI Inc,"18,625.95",12/31,01/28,GIB
Consensus Cloud Solutions Inc,410.10,09/30,01/28,CCSI
CorMedix Inc,607.20,09/30,01/28,CRMD
Crocs Inc,"4,342.39",09/30,01/28,CROX
DHI Group Inc,85.70,09/30,01/28,DHX
Enghouse Systems Ltd,755.62,10/31,01/28,EGHSF
European Wax Center Inc,167.06,09/30,01/28,EWCZ
GAMBLING.COM GROUP LIMITED,167.39,09/30,01/28,GAMB
Getty Images Holdings Inc,539.98,09/30,01/28,GETY
H&R Block Inc,"4,936.74",09/30,01/28,HRB
Harmony Biosciences Holdings Inc,"2,121.84",09/30,01/28,HRMY
HP Inc,"17,884.14",10/31,01/28,HPQ
IDT Corp,"1,195.48",10/31,01/28,IDT
Innoviva Inc,"1,461.73",09/30,01/28,INVA
Ironwood Pharmaceuticals Inc,779.23,09/30,01/28,IRWD
J Jill Inc,234.58,10/31,01/28,JILL
John Wiley & Sons Inc.,"1,652.23",10/31,01/28,WLY
Keros Therapeutics Inc,724.47,09/30,01/28,KROS
Korn Ferry,"3,429.90",10/31,01/28,KFY
NL Industries Inc.,307.84,09/30,01/28,NL
Omnicom Group Inc,"14,842.64",09/30,01/28,OMC
OneSpan Inc,443.29,09/30,01/28,OSPN
Pediatrix Medical Group Inc,"1,774.17",09/30,01/28,MD
Perdoceo Education Corp,"2,044.80",09/30,01/28,PRDO
Phoenix Education Partners Inc,"1,082.11",11/30,01/28,PXED
Pitney Bowes Inc.,"1,650.17",09/30,01/28,PBI
Playtika Holding Corp,"1,366.70",09/30,01/28,PLTK
PTC Therapeutics Inc,"6,042.86",09/30,01/28,PTCT
Puma Biotechnology Inc,318.43,09/30,01/28,PBYI
Regis Corp,59.09,09/30,01/28,RGS
Rigel Pharmaceuticals Inc,639.58,09/30,01/28,RIGL
Rimini Street Inc,324.69,09/30,01/28,RMNI
SBC Medical Group Holdings Inc,429.80,09/30,01/28,SBC
Shutterstock Inc,689.82,09/30,01/28,SSTK
SIGA Technologies Inc,477.65,09/30,01/28,SIGA
Sirius XM Holdings Inc,"6,787.18",09/30,01/28,SIRI
The Arena Group Holdings Inc,182.70,09/30,01/28,AREN
The Cigna Group,"72,759.51",09/30,01/28,CI
Travelzoo,63.41,09/30,01/28,TZOO
Unisys Corp,195.38,09/30,01/28,UIS
Versant Media Group Inc,"4,897.52",09/30,01/28,VSNT
Xponential Fitness Inc,273.28,09/30,01/28,XPOF
Yelp Inc,"1,708.88",09/30,01/28,YELP
