Company Name (in alphabetical order),Market Cap ($ Millions),Most Recent Quarter Data,Price From,Ticker
Altria Group Inc,"94,536.26",09/30,01/05,MO
AMC Networks Inc,412.82,09/30,01/05,AMCX
Atara Biotherapeutics Inc,121.56,09/30,01/05,ATRA
biote Corp,75.78,09/30,01/05,BTMD
Bitcoin Depot Inc,94.57,09/30,01/05,BTM
Blue Bird Corp,"1,523.78",09/30,01/05,BLBD
Brookfield Business Corp,"2,629.79",09/30,01/05,BBUC
Bumble Inc,410.21,09/30,01/05,BMBL
Catalyst Pharmaceutical Inc,"2,810.44",09/30,01/05,CPRX
Consensus Cloud Solutions Inc,426.43,09/30,01/05,CCSI
Crocs Inc,"4,483.34",09/30,01/05,CROX
Deluxe Corp,977.99,09/30,01/05,DLX
DHI Group Inc,80.02,09/30,01/05,DHX
Enghouse Systems Ltd,807.64,10/31,01/05,EGHSF
European Wax Center Inc,154.91,09/30,01/05,EWCZ
GAMBLING.COM GROUP LIMITED,190.96,09/30,01/05,GAMB
Getty Images Holdings Inc,539.98,09/30,01/05,GETY
GigaCloud Technology Inc,"1,456.08",09/30,01/05,GCT
H&R Block Inc,"5,525.86",09/30,01/05,HRB
Harmony Biosciences Holdings Inc,"2,116.65",09/30,01/05,HRMY
HP Inc,"20,334.41",10/31,01/05,HPQ
IDT Corp,"1,282.23",10/31,01/05,IDT
Innoviva Inc,"1,497.62",09/30,01/05,INVA
Ironwood Pharmaceuticals Inc,746.70,09/30,01/05,IRWD
J Jill Inc,209.34,10/31,01/05,JILL
John Wiley & Sons Inc.,"1,618.51",10/31,01/05,WLY
Keros Therapeutics Inc,728.13,09/30,01/05,KROS
Korn Ferry,"3,397.85",10/31,01/05,KFY
NL Industries Inc.,266.30,09/30,01/05,NL
Omnicom Group Inc,"15,193.63",09/30,01/05,OMC
OneSpan Inc,484.28,09/30,01/05,OSPN
Pediatrix Medical Group Inc,"1,879.74",09/30,01/05,MD
Perdoceo Education Corp,"2,004.92",09/30,01/05,PRDO
Pitney Bowes Inc.,"1,642.02",09/30,01/05,PBI
Playtika Holding Corp,"1,528.59",09/30,01/05,PLTK
PTC Therapeutics Inc,"6,135.58",09/30,01/05,PTCT
Puma Biotechnology Inc,299.28,09/30,01/05,PBYI
Regis Corp,63.26,09/30,01/05,RGS
Rigel Pharmaceuticals Inc,747.35,09/30,01/05,RIGL
Rimini Street Inc,352.20,09/30,01/05,RMNI
SBC Medical Group Holdings Inc,461.60,09/30,01/05,SBC
Shutterstock Inc,668.52,09/30,01/05,SSTK
SIGA Technologies Inc,457.59,09/30,01/05,SIGA
Sirius XM Holdings Inc,"7,110.70",09/30,01/05,SIRI
The Arena Group Holdings Inc,187.46,09/30,01/05,AREN
Travelzoo,77.51,09/30,01/05,TZOO
Unisys Corp,200.37,09/30,01/05,UIS
Versant Media Group Inc,"5,915.23",09/30,01/05,VSNT
Xponential Fitness Inc,278.55,09/30,01/05,XPOF
Yelp Inc,"1,887.22",09/30,01/05,YELP
